iter	Passed	Remaining
224	4127	14216
225	4146	14200
226	4164	14179
227	4181	14159
228	4201	14143
229	4219	14125
230	4236	14103
231	4255	14085
232	4272	14065
233	4291	14047
234	4311	14036
235	4330	14017
236	4350	14007
237	4384	14036
238	4404	14023
239	4423	14006
240	4442	13991
241	4463	13981
242	4485	13973
243	4503	13953
244	4521	13934
245	4538	13910
246	4559	13899
247	4576	13878
248	4594	13857
249	4611	13835
250	4628	13811
251	4645	13788
252	4661	13764
253	4678	13742
254	4694	13715
255	4711	13693
256	4728	13670
257	4745	13647
258	4762	13624
259	4779	13602
260	4795	13579
261	4813	13557
262	4829	13534
263	4846	13511
264	4863	13489
265	4879	13465
266	4896	13441
267	4913	13420
268	4930	13397
269	4947	13375
270	4963	13352
271	4980	13329
272	4997	13307
273	5014	13287
274	5031	13265
275	5048	13243
276	5065	13222
277	5083	13202
278	5101	13183
279	5118	13162
280	5135	13140
281	5152	13119
282	5179	13123
283	5205	13123
284	5230	13123
285	5254	13117
286	5277	13112
287	5294	13089
288	5311	13067
289	5327	13043
290	5344	13021
291	5361	12999
292	5377	12976
293	5394	12955
294	5412	12933
295	5428	12911
296	5445	12889
297	5462	12868
298	5480	12848
299	5499	12832
300	5516	12811
301	5534	12791
302	5550	12769
303	5568	12749
304	5586	12729
305	5603	12708
306	5620	12687
307	5637	12666
308	5654	12645
309	5672	12624
310	5690	12606
311	5708	12587
312	5726	12569
313	5743	12548
314	5761	12528
315	5779	12509
316	5796	12488
317	5813	12467
318	5830	12447
319	5848	12427
320	5866	12410
321	5890	12403
322	5911	12389
323	5928	12369
324	5946	12349
325	5963	12329
326	5980	12308
327	6002	12297
328	6025	12288
329	6044	12272
330	6064	12257
331	6087	12247
332	6107	12233
333	6128	12220
334	6149	12206
335	6170	12194
336	6191	12180
337	6211	12164
338	6232	12151
339	6252	12138
340	6273	12123
341	6293	12109
342	6311	12089
343	6329	12070
344	6349	12053
345	6372	12045
346	6391	12026
347	6411	12011
348	6428	11991
349	6446	11972
350	6465	11953
351	6483	11934
352	6501	11915
353	6519	11897
354	6537	11878
355	6555	11858
356	6578	11848
357	6595	11828
358	6612	11806
359	6632	11790
360	6650	11772
361	6668	11752
362	6687	11735
363	6705	11715
364	6723	11697
365	6742	11678
366	6761	11661
367	6777	11640
368	6795	11620
369	6813	11600
370	6832	11583
371	6850	11564
372	6868	11544
373	6885	11524
374	6903	11505
375	6921	11487
376	6939	11467
377	6958	11450
378	6976	11431
379	6994	11412
380	7015	11398
381	7034	11379
382	7052	11361
383	7070	11342
384	7088	11323
385	7106	11304
386	7126	11288
387	7145	11271
388	7165	11255
389	7184	11237
390	7202	11217
391	7220	11199
392	7238	11179
393	7256	11161
394	7275	11143
395	7294	11125
396	7312	11107
397	7331	11089
398	7349	11069
399	7366	11050
400	7384	11030
401	7402	11011
402	7419	10991
403	7438	10973
404	7456	10954
